Marca;Cilindros;Potencia (HP);Tamaño (L);R. Ciudad (km/l);R. Carr. (km/l);R. Comb. (km/l);R. Ajust. (km/l);CO2(g/km);Calificación Gas Ef. Inv.
SEAT;4;265;2;12,4;22,1;15,45;11,59;201;7
SEAT;4;265;2;12,4;22,1;15,45;11,59;201;7
SEAT;4;265;2;12,4;22,1;15,45;11,59;201;7
SEAT;4;265;2;12,4;22,1;15,45;11,59;201;7
MINI;4;184;1,6;12,2;17,24;15,44;11,58;201;7
MINI;4;184;1,6;12,2;17,24;15,44;11,58;201;7
PORSCHE;8;887;4,6;12,2;14,7;13,21;9,91;235;6
PORSCHE;8;888;4,6;12,2;14,7;13,21;9,91;235;6
MINI;4;184;1,6;12,19;19,23;15,99;11,99;194;7
MINI;4;184;1,6;12,19;17,24;15,43;11,58;201;7
FORD;4;310;2,3;12,13;19,83;14,7;11,02;212;6
FORD;4;310;2,3;12,13;19,82;14,69;11,02;212;6
MINI;4;184;1,6;12,1;17,24;15,37;11,53;202;7
MINI;4;184;1,6;12,04;19,23;15,87;11,9;196;7
MINI;4;184;1,6;12,04;18,86;15,77;11,83;197;7
PORSCHE;6;265;2,7;12,02;19,17;14,44;10,83;215;6
AUDI;4;211;2;12,01;20,96;14,87;11,15;209;7
AUDI;4;211;2;12,01;20,96;14,87;11,15;209;7
PORSCHE;6;265;2,7;12;19,1;14,41;10,81;216;6
PORSCHE;6;265;2,7;11,9;18,9;14,28;10,71;218;6
PORSCHE;6;265;2,7;11,9;18,9;14,28;10,71;218;6
SEAT;4;211;2;11,73;19,87;14,38;10,79;216;6
PORSCHE;6;330;3,4;11,7;17,8;13,83;10,38;225;6
PORSCHE;6;330;3,4;11,7;17,8;13,83;10,38;225;6
SEAT;4;211;2;11,67;18,06;13,88;10,41;224;6
VW;4;211;2;11,64;20,97;14,55;10,91;214;6
VW;4;211;2;11,64;20,97;14,55;10,91;214;6
VOLVO;4;180;1,6;11,62;17,9;15,19;11,39;205;7
VOLVO;4;180;1,6;11,62;17,9;15,19;11,39;205;7
ALFA ROMEO;4;235;1,7;11,61;17,33;13,64;10,23;228;6
PORSCHE;6;265;2,7;11,6;18,4;13,91;10,44;223;6
SUBARU;4;200;2;11,6;17,7;13,73;10,3;226;6
PORSCHE;6;265;2,7;11,56;18,4;13,88;10,41;224;6
PORSCHE;6;265;2,7;11,5;18,2;13,78;10,34;226;6
PORSCHE;6;265;2,7;11,5;18,2;13,78;10,34;226;6
CHEVROLET;4;272;2;11,5;17,8;13,68;10,26;227;6
MAZDA;4;167;2;11,4;16,6;13,27;9,95;234;6
MAZDA;4;158;2;11,4;16,4;13,21;9,91;235;6
MAZDA;4;158;2;11,4;16,4;13,21;9,91;235;6
MAZDA;4;158;2;11,4;16,4;13,21;9,91;235;6
MINI;4;211;1,6;11,36;18,86;15,23;11,42;204;7
VW;4;235;2;11,29;18,55;13,7;10,28;227;6
MINI;4;184;1,6;11,23;20;15,38;11,54;202;7
MINI;4;184;1,6;11,23;20;15,38;11,54;202;7
MINI;4;184;1,6;11,23;20;15,38;11,54;202;7
MINI;4;184;1,6;11,23;20;15,38;11,54;202;7
MINI;4;184;1,6;11,23;20;15,38;11,54;202;7
MINI;4;184;1,6;11,23;20;15,38;11,54;202;7
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;330;3,4;11,2;17,3;13,31;9,98;234;6
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;370;3;11,2;16,4;13,06;9,8;238;6
PORSCHE;6;330;3,4;11,2;17,3;13,31;9,98;234;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
AUDI;4;211;2;11,11;19,23;13,72;10,29;227;6
PORSCHE;6;300;2;11,1;17;13,15;9,87;236;6
PORSCHE;6;300;2;11,1;17;13,15;9,87;236;6
FORD;4;310;2,3;11,07;18,04;13,4;10,05;232;6
FORD;4;310;2,3;11,07;18,04;13,4;10,05;232;6
MAZDA;4;158;2;11;16;12,8;9,6;243;5
PORSCHE;6;315;3,4;11;17,9;13,31;9,98;234;6
MINI;4;231;2;11;18,9;14,94;11,21;208;7
MINI;4;231;2;11;19,2;15,01;11,26;207;7
MINI;4;231;2;10,99;19,23;15,01;11,26;207;7
MINI;4;184;1,6;10,98;19,6;15,08;11,31;206;7
PORSCHE;6;315;3,4;10,98;17,85;13,28;9,96;234;6
MINI;4;184;1,6;10,91;19,6;15,02;11,27;207;7
PORSCHE;6;315;3,4;10,9;17,7;13,18;9,88;236;6
PORSCHE;6;315;3,4;10,9;17,7;13,18;9,88;236;6
PORSCHE;6;315;3,4;10,9;17,7;13,18;9,88;236;6
MINI;4;184;1,6;10,89;19,6;15,01;11,25;207;7
MINI;4;184;1,6;10,89;19,6;15,01;11,25;207;7
MINI;4;211;1,6;10,87;17,86;14,58;10,94;213;6
MINI;4;211;1,6;10,83;17,24;14,4;10,8;216;6
PORSCHE;6;265;2,9;10,82;14,71;12,28;9,21;253;5
PORSCHE;6;265;2,9;10,82;12,98;11,7;8,77;266;4
PORSCHE;6;255;2,9;10,82;14,71;12,28;9,21;253;5
PORSCHE;6;255;2,9;10,82;12,99;11,7;8,77;266;4
CHEVROLET;4;272;2;10,76;17,81;13,09;9,82;238;6
MINI;4;184;1,6;10,75;19,23;14,8;11,1;210;7
MINI;4;184;1,6;10,75;19,23;14,8;11,1;210;7
MAZDA;4;158;2;10,7;16,3;12,66;9,49;246;5
SEAT;4;240;2;10,7;18,61;13,23;9,92;235;6
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
PORSCHE;6;420;3;10,7;15,9;12,55;9,41;248;5
MINI;4;218;1,6;10,64;16,13;13,95;10,46;223;6
MINI;4;218;1,6;10,64;16,13;13,95;10,46;223;6
MINI;4;218;1,6;10,64;16,13;13,95;10,46;223;6
MINI;4;218;1,6;10,64;16,1;13,94;10,46;223;6
MINI;4;211;1,6;10,63;17,24;14,24;10,68;218;6
MINI;4;211;1,6;10,63;17,24;14,24;10,68;218;6
MINI;4;218;1,6;10,63;16,12;13,94;10,46;223;6
MINI;4;211;1,6;10,63;17,24;14,24;10,68;218;6
CHEVROLET;4;272;2;10,63;18,24;13,08;9,81;238;6
MINI;4;218;1,6;10,6;16,1;13,91;10,43;223;6
PORSCHE;6;310;3,4;10,59;12,82;11,49;8,62;271;4
PORSCHE;6;320;3,4;10,59;12,82;11,49;8,62;271;4
PORSCHE;6;310;3,4;10,59;12,66;11,43;8,57;272;4
PORSCHE;6;320;3,4;10,59;12,66;11,43;8,57;272;4
PORSCHE;6;310;3,4;10,59;12,82;11,49;8,62;271;4
PORSCHE;6;310;3,4;10,59;12,66;11,43;8,57;272;4
PORSCHE;6;320;3,4;10,59;12,82;11,49;8,62;271;4
PORSCHE;6;320;3,4;10,59;12,66;11,43;8,57;272;4
VW;4;235;2;10,59;18,84;13,19;9,89;236;6
MINI;4;184;1,6;10,53;17,54;14,23;10,67;219;6
MINI;4;184;1,6;10,53;17,54;14,23;10,67;219;6
MINI;4;184;1,6;10,52;18,86;14,52;10,89;214;6
MINI;4;184;1,6;10,52;17,54;14,22;10,66;219;6
MINI;4;218;1,6;10,52;17,54;14,22;10,66;219;6
MINI;4;184;1,6;10,52;17,54;14,22;10,66;219;6
CHEVROLET;6;335;3,6;10,5;16,71;12,61;9,46;247;5
FORD;6;305;3,7;10,43;18,49;14,37;10,77;216;6
FORD;6;305;3,7;10,41;18,48;12,96;9,72;240;5
MINI;4;211;1,6;10,41;16,94;13,98;10,49;222;6
MINI;4;211;1,6;10,41;16,94;13,98;10,49;222;6
MINI;4;211;1,6;10,41;16,94;13,98;10,49;222;6
MINI;4;211;1,6;10,41;18,94;14,45;10,83;215;6
PORSCHE;6;400;3,8;10,3;15,7;12,19;9,14;255;5
PORSCHE;6;400;3,8;10,3;15,7;12,19;9,14;255;5
PORSCHE;6;400;3,8;10,3;15,7;12,19;9,14;255;5
PORSCHE;6;400;3,8;10,3;15,7;12,19;9,14;255;5
PORSCHE;6;400;3,8;10,3;15,7;12,19;9,14;255;5
PORSCHE;6;400;3,8;10,3;15,7;12,19;9,14;255;5
PORSCHE;6;400;3,8;10,3;15,6;12,16;9,12;256;5
PORSCHE;6;400;3,8;10,3;15,6;12,16;9,12;256;5
CHEVROLET;6;335;3,6;10,29;17,22;12,56;9,42;247;5
CHEVROLET;6;335;3,6;10,29;17,22;12,56;9,42;247;5
PORSCHE;6;400;3,8;10,2;15,6;12,08;9,06;257;5
SEAT;4;211;2;10,1;16,67;13,66;10,25;228;6
SEAT;4;211;2;10,1;16,67;13,66;10,25;228;6
FORD;6;305;3,7;10,08;16,77;13,67;10,25;227;6
FORD;6;305;3,7;10,05;16,76;13,64;10,23;228;6
SEAT;4;211;2;10;17,54;13,78;10,34;226;6
SEAT;4;211;2;10;17,54;13,78;10,34;226;6
NISSAN;6;332;3,7;10;15,3;11,85;8,89;262;4
CHEVROLET;6;312;3,6;9,95;17,81;12,42;9,31;250;5
CHEVROLET;6;312;3,6;9,95;17,81;12,42;9,31;250;5
CHEVROLET;6;312;3,6;9,95;17,81;12,42;9,31;250;5
FORD;6;300;3,7;9,94;16,42;12,09;9,07;257;5
PORSCHE;6;350;3,4;9,92;16,73;12,14;9,11;256;5
PORSCHE;6;350;3,4;9,92;16,73;12,14;9,11;256;5
PORSCHE;6;350;3,4;9,92;16,73;12,14;9,11;256;5
PORSCHE;6;350;3,4;9,92;16,73;12,14;9,11;256;5
PORSCHE;6;408;3,4;9,92;16,73;12,14;9,11;256;5
PORSCHE;6;408;3,4;9,92;16,73;12,14;9,11;256;5
PORSCHE;6;408;3,4;9,92;16,73;12,14;9,11;256;5
PORSCHE;6;408;3,4;9,92;16,73;12,14;9,11;256;5
FORD;6;305;3,7;9,9;17,1;13,6;10,2;229;6
FORD;6;305;3,7;9,9;17,1;13,6;10,2;229;6
VOLVO;4;180;1,6;9,9;16,39;13,43;10,07;232;6
VOLVO;4;180;1,6;9,9;16,39;13,43;10,07;232;6
FORD;6;305;3,7;9,9;17,1;13,6;10,2;229;6
VOLVO;4;180;1,6;9,9;16,4;13,43;10,07;231;6
MINI;4;211;1,6;9,9;18,86;13,98;10,48;222;6
VOLVO;4;180;1,6;9,9;16,4;13,43;10,07;231;6
PORSCHE;6;350;3,4;9,9;16,7;12,12;9,09;256;5
PORSCHE;6;350;3,4;9,9;16,7;12,12;9,09;256;5
PORSCHE;6;350;3,4;9,9;16,7;12,12;9,09;256;5
VW;4;211;2;9,8;16,39;11,96;8,97;260;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;350;2,5;9,8;17,3;12,18;9,13;255;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;430;3,8;9,8;16,2;11,92;8,94;261;5
PORSCHE;6;350;2,5;9,8;17,3;12,18;9,13;255;5
PORSCHE;6;315;3,4;9,71;15,65;11,71;8,78;265;4
MINI;4;184;1,6;9,7;16,13;13,2;9,9;236;6
MAZDA;4;263;2,3;9,7;14,8;11,48;8,61;271;4
MAZDA;4;263;2,3;9,7;14,8;11,48;8,61;271;4
MINI;4;184;1,6;9,7;16,13;13,2;9,9;236;6
MINI;4;184;1,6;9,7;16,12;13,2;9,9;236;6
MINI;4;184;1,6;9,7;16,12;13,2;9,9;236;6
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;370;3;9,7;15,2;11,59;8,69;268;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;2,5;9,7;15,2;11,59;8,69;268;4
PORSCHE;6;315;3,4;9,7;15,6;11,69;8,77;266;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;350;3,4;9,7;16,4;11,89;8,91;262;4
PORSCHE;6;370;3;9,7;15,2;11,59;8,69;268;4
PORSCHE;6;350;2,5;9,7;15,2;11,59;8,69;268;4
MINI;4;211;1,6;9,61;18,18;13,58;10,18;229;6
MINI;4;211;1,6;9,61;18,18;13,58;10,18;229;6
DODGE;6;305;3,6;9,56;15,59;11,57;8,68;269;4
PORSCHE;6;315;3,4;9,5;15,3;11,45;8,59;271;4
PORSCHE;6;315;3,4;9,5;15,3;11,45;8,59;271;4
PORSCHE;6;315;3,4;9,5;15,3;11,45;8,59;271;4
FORD;8;435;5;9,47;15,17;12,77;9,58;243;5
FORD;8;412;5;9,44;15,15;11,37;8,53;273;4
MAZDA;4;263;2,3;9,4;14,1;11,06;8,29;281;4
PORSCHE;6;375;3,8;9,4;14,8;11,25;8,43;276;4
PORSCHE;6;375;3,8;9,4;14,8;11,25;8,43;276;4
NISSAN;6;332;3,7;9,4;15,1;11,32;8,49;275;4
MINI;4;218;1,6;9,35;15,87;12,84;9,63;242;5
SEAT;4;160;1,8;9,35;15,15;12,66;9,5;246;5
SEAT;4;160;1,8;9,35;15,15;12,66;9,5;246;5
SEAT;4;240;2;9,35;15,15;12,66;9,5;246;5
SEAT;5;265;2;9,35;15,15;12,66;9,5;246;5
SEAT;4;160;1,8;9,35;15,15;12,66;9,5;246;5
SEAT;4;160;1,8;9,35;15,15;12,66;9,5;246;5
SEAT;4;240;2;9,35;15,15;12,66;9,5;246;5
MINI;4;218;1,6;9,34;15,87;12,83;9,63;242;5
PORSCHE;6;540;3,8;9,3;14,2;11,01;8,26;282;4
PORSCHE;6;540;3,8;9,3;14,2;11,01;8,26;282;4
PORSCHE;6;540;3,8;9,3;14,2;11,01;8,26;282;4
PORSCHE;6;540;3,8;9,3;14,2;11,01;8,26;282;4
FORD;8;435;5;9,27;16,92;11,63;8,72;267;4
PORSCHE;6;520;3,8;9,2;14;10,88;8,16;286;4
PORSCHE;6;560;3,8;9,2;14;10,88;8,16;286;4
PORSCHE;6;520;3,8;9,2;14;10,88;8,16;286;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;560;3,8;9,2;14;10,88;8,16;286;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;560;3,8;9,2;14;10,88;8,16;286;4
PORSCHE;6;520;3,8;9,2;14,01;10,88;8,16;286;4
PORSCHE;6;560;3,8;9,2;14,01;10,88;8,16;286;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;370;3;9,2;16,3;11,44;8,58;272;4
PORSCHE;6;560;3,8;9,2;14;10,88;8,16;286;4
AUDI;6;272;3;9,17;14,92;12,46;9,34;250;5
ALFA ROMEO;4;235;1,8;9,17;16,95;12,93;9,7;240;5
ALFA ROMEO;4;235;1,8;9,17;16,95;12,93;9,7;240;5
PORSCHE;6;265;2,7;9,17;16,12;11,38;8,53;273;4
CHEVROLET;8;455;6,2;9,14;17,04;11,55;8,66;269;4
CHEVROLET;8;455;6,2;9,14;17,04;11,55;8,66;269;4
CHEVROLET;8;455;6,2;9,14;17,04;11,55;8,66;269;4
PORSCHE;6;400;3,8;9,1;15,1;11,08;8,31;281;4
PORSCHE;6;400;3,8;9,06;15,11;11,05;8,29;281;4
PORSCHE;6;400;3,8;9,06;15,11;11,05;8,29;281;4
NISSAN;6;332;3,7;9,05;14,59;10,91;8,18;285;4
NISSAN;6;332;3,7;9,05;14,59;10,91;8,18;285;4
PORSCHE;6;385;3,8;9,04;11,49;10;7,5;311;3
PORSCHE;6;385;3,8;9,04;11,49;10;7,5;311;3
PORSCHE;6;385;3,8;9,04;11,36;9,96;7,47;312;3
PORSCHE;6;385;3,8;9,04;11,36;9,96;7,47;312;3
PORSCHE;6;385;3,8;9,04;11,24;9,91;7,44;314;3
PORSCHE;6;385;3,8;9,04;11,24;9,91;7,44;314;3
PORSCHE;6;385;3,8;9,04;11,11;9,87;7,4;315;3
PORSCHE;6;385;3,8;9,04;11,11;9,87;7,4;315;3
PORSCHE;6;400;3,8;9,04;11,49;10;7,5;311;3
PORSCHE;6;400;3,8;9,04;11,36;9,96;7,47;312;3
PORSCHE;6;400;3,8;9,04;11,49;10;7,5;311;3
PORSCHE;6;400;3,8;9,04;11,36;9,96;7,47;312;3
PORSCHE;6;408;3,8;9,04;11,24;9,91;7,44;314;3
PORSCHE;6;408;3,8;9,04;11,11;9,87;7,4;315;3
PORSCHE;6;408;3,8;9,04;11,24;9,91;7,44;314;3
PORSCHE;6;408;3,8;9,04;11,11;9,87;7,4;315;3
VW;4;235;2;9;15,16;11,01;8,26;282;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;580;3,8;9;14,1;10,75;8,06;289;3
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;580;3,8;9;14,1;10,75;8,06;289;3
PORSCHE;6;350;3,4;9;15,3;11,05;8,29;281;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;580;3,8;9;14,1;10,75;8,06;289;3
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;420;3;9;15,8;11,16;8,37;279;4
PORSCHE;6;580;3,8;9;14,1;10,75;8,06;289;3
CHEVROLET;6;312;3,6;8,93;16,58;11,27;8,45;276;4
CHEVROLET;6;323;3,6;8,93;16,58;11,27;8,45;276;4
PORSCHE;6;400;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;400;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;350;3,4;8,9;15,1;10,92;8,19;285;4
PORSCHE;6;400;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;350;3,4;8,9;15,1;10,92;8,19;285;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;350;3,4;8,9;15,1;10,92;8,19;285;4
PORSCHE;6;400;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;400;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;350;3,4;8,9;15,1;10,92;8,19;285;4
PORSCHE;6;400;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;350;3,4;8,9;15,1;10,92;8,19;285;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;430;3,8;8,9;14,9;10,87;8,15;286;4
PORSCHE;6;350;3,4;8,85;15,15;10,89;8,17;286;4
PORSCHE;6;315;3,4;8,77;15,87;10,98;8,24;283;4
CHEVROLET;8;455;6,2;8,76;16,66;11,13;8,35;279;4
CHEVROLET;8;455;6,2;8,76;16,66;11,13;8,35;279;4
CHEVROLET;8;455;6,2;8,76;16,66;11,13;8,35;279;4
ACURA;6;305;3,7;8,7;14;10,49;7,86;296;3
PORSCHE;6;350;3,4;8,7;14,93;10,71;8,03;290;3
PORSCHE;6;370;3;8,7;15,4;10,82;8,11;287;4
PORSCHE;6;370;3;8,7;15,4;10,82;8,11;287;4
CHEVROLET;8;400;6,2;8,55;13,52;10,24;7,68;303;3
PORSCHE;6;265;2,7;8,47;15,62;10,67;8;291;3
CHEVROLET;8;400;6,2;8,42;14,97;10,48;7,86;297;3
CHEVROLET;8;426;6,2;8,42;14,37;10,35;7,76;300;3
CHEVROLET;8;426;6,2;8,42;14,37;10,35;7,76;300;3
CHEVROLET;8;400;6,2;8,42;14,97;10,48;7,86;297;3
CHEVROLET;8;400;6,2;8,42;14,97;10,48;7,86;297;3
CHEVROLET;8;426;6,2;8,42;14,37;10,35;7,76;300;3
FORD;6;305;3,7;8,4;13,8;10,2;7,65;305;3
FORD;6;305;3,7;8,4;13,8;10,2;7,65;305;3
VW;4;235;2;8,4;14,7;10,41;7,81;299;3
FORD;6;305;3,7;8,4;13,8;10,2;7,65;305;3
PORSCHE;6;500;4;8,4;12,8;9,94;7,45;313;3
PORSCHE;6;500;4;8,4;12,8;9,94;7,45;313;3
CHEVROLET;8;426;6,2;8,38;14,28;10,29;7,72;302;3
FORD;6;300;3,7;8,37;14,68;11,73;8,8;265;4
CHEVROLET;8;426;6,2;8,37;14,28;10,29;7,71;302;3
CHEVROLET;8;455;6,2;8,33;16,54;10,73;8,04;290;3
CHEVROLET;8;455;6,2;8,33;18,54;11,07;8,31;281;4
MITSUBISHI;6;260;3,8;8,31;13,63;10,08;7,56;308;3
MITSUBISHI;6;260;3,8;8,31;13,63;10,08;7,56;308;3
PORSCHE;6;400;3,8;8,26;14,93;10,34;7,75;301;3
FORD;8;435;5;8,22;15,14;11,7;8,77;266;4
FORD;8;650;5,8;8,22;14,5;10,21;7,66;305;3
FORD;8;412;5;8,2;15,12;10,33;7,75;301;3
DODGE;8;372;5,7;8,2;14,66;10,23;7,67;304;3
PORSCHE;6;400;3,8;8,2;14,49;10,19;7,64;305;3
MITSUBISHI;6;260;3,8;8,11;11,77;9,43;7,07;330;2
FORD;6;305;3,7;8,1;12,3;10,9;8,17;285;4
FORD;6;305;3,7;8,1;12,3;10,9;8,17;285;4
PORSCHE;6;400;3,8;8,06;14,28;10,03;7,52;310;3
PORSCHE;6;350;3,4;8,06;14,29;10,03;7,52;310;3
CHEVROLET;8;430;6,2;8,01;14,69;10,07;7,55;309;3
CHEVROLET;8;430;6,2;8,01;14,69;10,07;7,55;309;3
CHEVROLET;8;430;6,2;8,01;14,69;10,07;7,55;309;3
PORSCHE;6;400;3,8;8;14,08;9,93;7,45;313;3
FORD;8;420;5;8;13,34;9,76;7,32;319;3
PORSCHE;6;400;3,8;7,99;13,35;9,75;7,31;319;3
PORSCHE;6;400;3,8;7,99;13,35;9,75;7,31;319;3
PORSCHE;6;408;3,8;7,99;13,35;9,75;7,31;319;3
PORSCHE;6;408;3,8;7,99;13,35;9,75;7,31;319;3
DODGE;6;305;3,6;7,94;14;9,86;7,4;315;3
DODGE;6;305;3,6;7,9;14;11,16;8,37;279;4
FORD;8;526;5,2;7,9;13,4;9,69;7,27;321;3
PORSCHE;6;350;3,4;7,87;13,89;9,78;7,33;318;3
PORSCHE;6;315;3,4;7,87;14,08;9,82;7,36;317;3
FORD;8;435;5;7,85;15,08;10,01;7,51;311;3
FORD;8;412;5;7,8;12,9;9,49;7,12;328;2
FORD;8;412;5;7,8;12,9;9,49;7,12;328;2
FORD;8;412;5;7,8;12,9;9,49;7,12;328;2
FORD;8;412;5;7,8;12,9;9,49;7,12;328;2
FORD;8;412;5;7,8;12,9;9,49;7,12;328;2
FORD;8;412;5;7,8;12,9;9,49;7,12;328;2
PORSCHE;6;475;3,8;7,8;12,5;9,39;7,04;331;2
PORSCHE;6;475;3,8;7,8;12,5;9,39;7,04;331;2
PORSCHE;6;475;3,8;7,8;12,5;9,39;7,04;331;2
CHEVROLET;8;455;6,2;7,74;14,37;9,77;7,33;318;3
FORD;8;550;5,4;7,7;13,5;9,55;7,16;326;2
NISSAN;6;329;3,7;7,7;11,1;8,93;6,7;348;1
NISSAN;6;329;3,7;7,7;11,1;8,93;6,7;348;1
NISSAN;6;329;3,7;7,7;11,1;8,93;6,7;348;1
NISSAN;6;329;3,7;7,7;11,1;8,93;6,7;348;1
FORD;8;550;5,4;7,7;13,5;10,87;8,15;286;4
NISSAN;6;329;3,7;7,7;11,1;8,93;6,7;348;1
NISSAN;6;329;3,7;7,7;11,1;8,93;6,7;348;1
AUDI;4;265;3,2;7,69;14,93;9,84;7,38;316;3
AUDI;6;265;3,2;7,69;14,93;9,84;7,38;316;3
DODGE;8;372;5,7;7,69;13,17;9,46;7,1;329;2
DODGE;8;372;5,7;7,69;13,17;9,46;7,1;329;2
PORSCHE;6;520;3,8;7,58;12,98;9,33;6,99;333;2
PORSCHE;6;560;3,8;7,57;12,98;9,32;6,99;334;2
CHEVROLET;8;400;6,2;7,53;12,8;9,24;6,93;336;2
CHEVROLET;8;455;6,2;7,52;13,99;9,5;7,12;327;2
CHEVROLET;8;455;6,2;7,52;13,9;9,48;7,11;328;2
PORSCHE;6;400;3,8;7,52;13,7;9,44;7,08;329;2
CHEVROLET;8;580;6,2;7,44;11,14;8,75;6,56;355;1
CHEVROLET;8;580;6,2;7,4;11,05;8,69;6,52;358;1
CHEVROLET;8;580;6,2;7,4;11,05;8,69;6,52;358;1
CHEVROLET;8;580;6,2;7,4;11,05;8,69;6,52;358;1
